Genome.ID	Sample.ID	Coverage	Genus
26163	NZ_KB905472.1_Bacteroides_massiliensis_B84634_=_Timone_84634_=_DSM_17679_=_JCM_13223_strain_DSM_17679_aczJl-supercont1.1-_whole_genome_shotgun_sequence	CS.275	0.6654	Bacteroides
27044	NZ_PUEN01000001.1_Bacteroides_vulgatus_strain_ATCC_8492_Bacteroides_vulgatus.1cell.HGAP3_contig1-_whole_genome_shotgun_sequence	CS.275	0.521	Bacteroides
27865	NZ_JH724132.1_Bacteroides_dorei_CL02T12C06_supercont1.1-_whole_genome_shotgun_sequence	CS.290	0.644	Bacteroides
29476	NZ_GG688349.1_Bacteroides_finegoldii_DSM_17565_Scfld32-_whole_genome_shotgun_sequence	CS.308.0	0.5707	Bacteroides
29708	NZ_JNHO01000001.1_Bacteroides_uniformis_str._3978_T3_i_gbf3978T3i.contig.0-_whole_genome_shotgun_sequence	CS.308.0	0.5286	Bacteroides
33953	NZ_PUEN01000001.1_Bacteroides_vulgatus_strain_ATCC_8492_Bacteroides_vulgatus.1cell.HGAP3_contig1-_whole_genome_shotgun_sequence	CS.312	0.5938	Bacteroides
34730	NZ_JH724132.1_Bacteroides_dorei_CL02T12C06_supercont1.1-_whole_genome_shotgun_sequence	CS.325	0.6349	Bacteroides
36202	NZ_DS499677.1_Bacteroides_stercoris_ATCC_43183_Scfld_02_16-_whole_genome_shotgun_sequence	CS.326	0.5322	Bacteroides
36829	NZ_KB905472.1_Bacteroides_massiliensis_B84634_=_Timone_84634_=_DSM_17679_=_JCM_13223_strain_DSM_17679_aczJl-supercont1.1-_whole_genome_shotgun_sequence	CS.326	0.6555	Bacteroides
39673	NZ_PUEN01000001.1_Bacteroides_vulgatus_strain_ATCC_8492_Bacteroides_vulgatus.1cell.HGAP3_contig1-_whole_genome_shotgun_sequence	CS.335	0.5672	Bacteroides
40565	NZ_JNHO01000001.1_Bacteroides_uniformis_str._3978_T3_i_gbf3978T3i.contig.0-_whole_genome_shotgun_sequence	CS.358	0.5624	Bacteroides
41255	NZ_PUEN01000001.1_Bacteroides_vulgatus_strain_ATCC_8492_Bacteroides_vulgatus.1cell.HGAP3_contig1-_whole_genome_shotgun_sequence	CS.358	0.7018	Bacteroides
41363	NZ_ABJL02000008.1_Bacteroides_intestinalis_DSM_17393_B_intestinalis-2.0.1_Cont607-_whole_genome_shotgun_sequence	CS.360	0.5158	Bacteroides
44053	NZ_GG688349.1_Bacteroides_finegoldii_DSM_17565_Scfld32-_whole_genome_shotgun_sequence	CS.369	0.7363	Bacteroides
44342	NZ_KB905472.1_Bacteroides_massiliensis_B84634_=_Timone_84634_=_DSM_17679_=_JCM_13223_strain_DSM_17679_aczJl-supercont1.1-_whole_genome_shotgun_sequence	CS.369	0.6336	Bacteroides
44722	NZ_PUEN01000001.1_Bacteroides_vulgatus_strain_ATCC_8492_Bacteroides_vulgatus.1cell.HGAP3_contig1-_whole_genome_shotgun_sequence	CS.369	0.624	Bacteroides
45453	NZ_JNHO01000001.1_Bacteroides_uniformis_str._3978_T3_i_gbf3978T3i.contig.0-_whole_genome_shotgun_sequence	CS.370	0.5207	Bacteroides
48529	NZ_JH724132.1_Bacteroides_dorei_CL02T12C06_supercont1.1-_whole_genome_shotgun_sequence	CS.393	0.6165	Bacteroides
51954	NZ_JH724132.1_Bacteroides_dorei_CL02T12C06_supercont1.1-_whole_genome_shotgun_sequence	L.002.M6.0	0.6676	Bacteroides
84431	NZ_CZBL01000001.1_Bacteroides_caccae_strain_2789STDY5834946-_whole_genome_shotgun_sequence	T.CS.061	0.5145	Bacteroides
85194	NZ_KB905472.1_Bacteroides_massiliensis_B84634_=_Timone_84634_=_DSM_17679_=_JCM_13223_strain_DSM_17679_aczJl-supercont1.1-_whole_genome_shotgun_sequence	T.CS.061	0.6651	Bacteroides
102593	NZ_JH724132.1_Bacteroides_dorei_CL02T12C06_supercont1.1-_whole_genome_shotgun_sequence	T.CS.089	0.6194	Bacteroides
2121	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	CS.145	0.577	Prevotella
5305	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	CS.165	0.5617	Prevotella
31274	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	CS.311	0.5401	Prevotella
32047	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	CS.311	0.5351	Prevotella
42310	NZ_JH379330.1_Prevotella_stercorea_DSM_18206_Scfld0-_whole_genome_shotgun_sequence	CS.360	0.619	Prevotella
48370	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	CS.393	0.609	Prevotella
53931	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	L.003.M1	0.611	Prevotella
54772	NZ_LT629829.1_Prevotellamassilia_timonensis_strain_Marseille-P2831-_whole_genome_shotgun_sequence	L.003.M1	0.5683	Prevotella
55095	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	L.003.M1	0.7235	Prevotella
56316	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	L.003.M6	0.5248	Prevotella
57228	NZ_LT629829.1_Prevotellamassilia_timonensis_strain_Marseille-P2831-_whole_genome_shotgun_sequence	L.003.M6	0.5546	Prevotella
57592	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	L.003.M6	0.6249	Prevotella
59600	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	L.022.M1	0.588	Prevotella
61169	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	L.022.M6	0.5695	Prevotella
62374	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	L.024.M1	0.5294	Prevotella
63791	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	L.024.M1	0.6744	Prevotella
64991	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	L.024.M6	0.5793	Prevotella
66124	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	L.024.M6	0.7393	Prevotella
74195	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.008	0.5513	Prevotella
75931	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.018	0.6223	Prevotella
78887	NZ_LT629829.1_Prevotellamassilia_timonensis_strain_Marseille-P2831-_whole_genome_shotgun_sequence	T.CS.030	0.6124	Prevotella
79215	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	T.CS.030	0.5155	Prevotella
80303	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.042	0.5786	Prevotella
80985	NZ_LT629829.1_Prevotellamassilia_timonensis_strain_Marseille-P2831-_whole_genome_shotgun_sequence	T.CS.042	0.5148	Prevotella
81226	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	T.CS.042	0.5603	Prevotella
82387	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.051	0.5987	Prevotella
82535	NZ_JH379330.1_Prevotella_stercorea_DSM_18206_Scfld0-_whole_genome_shotgun_sequence	T.CS.051	0.589	Prevotella
83523	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	T.CS.051	0.6472	Prevotella
84696	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.061	0.5341	Prevotella
85897	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	T.CS.061	0.5243	Prevotella
86814	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.065	0.5366	Prevotella
87562	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	T.CS.065	0.6327	Prevotella
88669	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.069	0.5015	Prevotella
90797	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.070	0.5581	Prevotella
90951	NZ_JH379330.1_Prevotella_stercorea_DSM_18206_Scfld0-_whole_genome_shotgun_sequence	T.CS.070	0.5951	Prevotella
91826	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	T.CS.070	0.6868	Prevotella
92972	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.071	0.5857	Prevotella
93119	NZ_JH379330.1_Prevotella_stercorea_DSM_18206_Scfld0-_whole_genome_shotgun_sequence	T.CS.071	0.5413	Prevotella
94029	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	T.CS.071	0.6171	Prevotella
95010	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.073	0.5911	Prevotella
95642	NZ_LT629829.1_Prevotellamassilia_timonensis_strain_Marseille-P2831-_whole_genome_shotgun_sequence	T.CS.073	0.5387	Prevotella
96840	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.081	0.6493	Prevotella
96968	NZ_JH379330.1_Prevotella_stercorea_DSM_18206_Scfld0-_whole_genome_shotgun_sequence	T.CS.081	0.523	Prevotella
97554	NZ_LT629829.1_Prevotellamassilia_timonensis_strain_Marseille-P2831-_whole_genome_shotgun_sequence	T.CS.081	0.5713	Prevotella
97844	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	T.CS.081	0.624	Prevotella
98719	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.084	0.5671	Prevotella
99467	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	T.CS.084	0.575	Prevotella
100393	NZ_GG703878.1_Prevotella_copri_DSM_18205_Scfld26-_whole_genome_shotgun_sequence	T.CS.087	0.5477	Prevotella
100516	NZ_JH379330.1_Prevotella_stercorea_DSM_18206_Scfld0-_whole_genome_shotgun_sequence	T.CS.087	0.5459	Prevotella
101285	NZ_NMPZ01000001.1_Prevotella_copri_strain_Indica_contig00001-_whole_genome_shotgun_sequence	T.CS.087	0.6392	Prevotella
